WK,Game Date,Opp,Result,G,GS,FGBlk,FGLng,FGAtt,FGM,FGPct,XPM,XPAtt,XPPct,XPBlk,KO,KOAvg,TB,Ret,RetAvg,Player,Year
1,09/13,NYG,W27-26,1,0,0,32,2,2,100.0,3,3,100.0,0,6,65.0,6,0,--,Dan Bailey,2015
2,09/20,@PHI,W20-10,1,0,0,28,2,2,100.0,2,2,100.0,0,4,65.3,3,1,21.0,Dan Bailey,2015
3,09/27,ATL,L28-39,1,0,0,0,0,0,--,4,4,100.0,0,5,65.6,4,1,23.0,Dan Bailey,2015
4,10/04,@NO,L20-26,1,0,0,38,2,2,100.0,2,2,100.0,0,6,64.8,5,1,34.0,Dan Bailey,2015
5,10/11,NE,L6-30,1,0,0,51,2,2,100.0,0,0,--,0,3,65.0,3,0,--,Dan Bailey,2015
6,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2015
7,10/25,@NYG,L20-27,1,0,0,48,2,2,100.0,2,2,100.0,0,5,66.0,2,3,49.7,Dan Bailey,2015
8,11/01,SEA,L12-13,1,0,0,52,4,4,100.0,0,0,--,0,5,63.4,4,1,18.0,Dan Bailey,2015
9,11/08,PHI,L27-33,1,0,0,44,2,2,100.0,3,3,100.0,0,7,65.0,7,0,--,Dan Bailey,2015
10,11/15,@TB,L6-10,1,0,0,53,3,2,66.7,0,0,--,0,3,65.0,3,0,--,Dan Bailey,2015
11,11/22,@MIA,W24-14,1,0,0,30,1,1,100.0,3,3,100.0,0,5,60.4,2,3,13.0,Dan Bailey,2015
12,11/26,CAR,L14-33,1,0,0,48,2,2,100.0,0,0,--,0,4,51.0,3,1,3.0,Dan Bailey,2015
13,12/07,@WAS,W19-16,1,0,0,54,4,4,100.0,1,1,100.0,0,6,65.3,1,5,25.0,Dan Bailey,2015
14,12/13,@GB,L7-28,1,0,0,0,0,0,--,1,1,100.0,0,2,69.0,0,2,20.0,Dan Bailey,2015
15,12/19,NYJ,L16-19,1,0,0,50,3,3,100.0,1,1,100.0,0,5,67.0,2,3,20.3,Dan Bailey,2015
16,12/27,@BUF,L6-16,1,0,0,46,3,2,66.7,0,0,--,0,3,60.3,1,2,18.0,Dan Bailey,2015
17,01/03,WAS,L23-34,1,0,0,0,0,0,--,3,3,100.0,0,4,52.0,3,0,--,Dan Bailey,2015
1,09/07,SF,L17-28,1,0,0,29,1,1,100.0,2,2,100.0,0,4,52.0,3,0,--,Dan Bailey,2014
2,09/14,@TEN,W26-10,1,0,0,51,4,4,100.0,2,2,100.0,0,7,63.1,2,5,13.6,Dan Bailey,2014
3,09/21,@STL,W34-31,1,0,0,40,2,2,100.0,4,4,100.0,0,7,67.0,5,2,26.5,Dan Bailey,2014
4,09/28,NO,W38-17,1,0,0,51,1,1,100.0,5,5,100.0,0,7,65.0,7,0,--,Dan Bailey,2014
5,10/05,HOU,W20-17,1,0,0,49,3,2,66.7,2,2,100.0,0,5,66.6,4,1,21.0,Dan Bailey,2014
6,10/12,@SEA,W30-23,1,0,0,56,3,3,100.0,3,3,100.0,0,7,69.1,2,5,28.4,Dan Bailey,2014
7,10/19,NYG,W31-21,1,0,0,49,1,1,100.0,4,4,100.0,0,6,67.7,3,3,29.0,Dan Bailey,2014
