WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
1,7-Sep,@DEN,L 24-31,1,1,4,64,16,41T,1,--,--,--,--,--,1,0, Dwayne Allen,2014
2,15-Sep,PHI,L 27-30,1,1,0,0,--,--,0,--,--,--,--,--,--,--, Dwayne Allen,2014
3,21-Sep,@JAC,W 44-17,1,1,4,43,10.8,22,1,--,--,--,--,--,--,--, Dwayne Allen,2014
4,28-Sep,TEN,W 41-17,1,1,3,38,12.7,17,1,--,--,--,--,--,--,--, Dwayne Allen,2014
5,5-Oct,BAL,W 20-13,1,1,4,59,14.8,28,1,--,--,--,--,--,--,--, Dwayne Allen,2014
6,9-Oct,@HOU,W 33-28,1,1,3,49,16.3,18,0,--,--,--,--,--,--,--, Dwayne Allen,2014
7,19-Oct,CIN,W 27-0,1,1,3,52,17.3,32T,1,--,--,--,--,--,--,--, Dwayne Allen,2014
8,26-Oct,@PIT,L 34-51,1,1,1,21,21,21T,1,--,--,--,--,--,--,--, Dwayne Allen,2014
9,3-Nov,@NYG,W 40-24,1,1,4,48,12,35,1,--,--,--,--,--,--,--, Dwayne Allen,2014
10,Bye,,,,,,,,,,,,,,,,, Dwayne Allen,2014
11,16-Nov,NE,L 20-42,1,1,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2014
12,23-Nov,JAC,W 23-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2014
13,30-Nov,WAS,W 49-27,0,0,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2014
14,7-Dec,@CLE,W 25-24,1,1,1,5,5,5,0,--,--,--,--,--,--,--, Dwayne Allen,2014
15,14-Dec,HOU,W 17-10,1,1,2,16,8,13,1,--,--,--,--,--,--,--, Dwayne Allen,2014
16,21-Dec,@DAL,L 7-42,1,1,0,0,--,--,0,--,--,--,--,--,--,--, Dwayne Allen,2014
17,28-Dec,@TEN,W 27-10,0,0,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2014
1,8-Sep,OAK,W 21-17,1,1,1,20,20,20T,1,--,--,--,--,--,--,--, Dwayne Allen,2013
2,15-Sep,MIA,L 20-24,0,0,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2013
1,9-Sep,@CHI,L 21-41,1,1,--,--,--,--,--,--,--,--,--,--,--,--, Dwayne Allen,2012
2,16-Sep,MIN,W 23-20,1,1,1,3,3,3T,1,1,0,0,0,0,--,--, Dwayne Allen,2012
3,23-Sep,JAC,L 17-22,1,1,5,35,7,17,0,--,--,--,--,--,--,--, Dwayne Allen,2012
4,Bye,,,,,,,,,,,,,,,,, Dwayne Allen,2012
5,7-Oct,GB,W 30-27,1,1,4,38,9.5,11,1,--,--,--,--,--,--,--, Dwayne Allen,2012
6,14-Oct,@NYJ,L 9-35,1,1,2,33,16.5,21,0,--,--,--,--,--,--,--, Dwayne Allen,2012
7,21-Oct,CLE,W 17-13,1,1,1,9,9,9,0,--,--,--,--,--,--,--, Dwayne Allen,2012
