WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
1,09/13,@BUF,L14-27,1,1,3,17,5.7,8,1,--,--,--,--,--,--,--,Dwayne Allen,2015
2,09/21,NYJ,L7-20,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
3,09/27,@TEN,W35-33,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
4,10/04,JAC,W16-13,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
5,10/08,@HOU,W27-20,1,1,1,21,21.0,21,0,--,--,--,--,--,--,--,Dwayne Allen,2015
6,10/18,NE,L27-34,1,1,3,23,7.7,10,0,--,--,--,--,--,--,--,Dwayne Allen,2015
7,10/25,NO,L21-27,1,1,1,10,10.0,10,0,--,--,--,--,--,--,--,Dwayne Allen,2015
8,11/02,@CAR,L26-29,1,1,1,4,4.0,4,0,--,--,--,--,--,--,--,Dwayne Allen,2015
9,11/08,DEN,W27-24,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2015
10,Bye,,,,,,,,,,,,,,,,,Dwayne Allen,2015
11,11/22,@ATL,W24-21,1,1,1,7,7.0,7,0,--,--,--,--,--,--,--,Dwayne Allen,2015
12,11/29,TB,W25-12,1,1,2,19,9.5,11,0,--,--,--,--,--,--,--,Dwayne Allen,2015
13,12/06,@PIT,L10-45,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--,Dwayne Allen,2015
14,12/13,@JAC,L16-51,1,1,2,-3,-1.5,6,0,--,--,--,--,--,--,--,Dwayne Allen,2015
15,12/20,HOU,L10-16,1,0,1,5,5.0,5,0,1,1,1.0,1,0,--,--,Dwayne Allen,2015
16,12/27,@MIA,W18-12,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2015
1,09/07,@DEN,L24-31,1,1,4,64,16.0,41T,1,--,--,--,--,--,1,0,Dwayne Allen,2014
2,09/15,PHI,L27-30,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2014
3,09/21,@JAC,W44-17,1,1,4,43,10.8,22,1,--,--,--,--,--,--,--,Dwayne Allen,2014
4,09/28,TEN,W41-17,1,1,3,38,12.7,17,1,--,--,--,--,--,--,--,Dwayne Allen,2014
5,10/05,BAL,W20-13,1,1,4,59,14.8,28,1,--,--,--,--,--,--,--,Dwayne Allen,2014
6,10/09,@HOU,W33-28,1,1,3,49,16.3,18,0,--,--,--,--,--,--,--,Dwayne Allen,2014
7,10/19,CIN,W27-0,1,1,3,52,17.3,32T,1,--,--,--,--,--,--,--,Dwayne Allen,2014
