WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
4,10/04,@SF,W17-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
5,10/11,STL,W24-10,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
6,10/18,SD,W27-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
7,Bye,,,,,,,,,,,,,,,,,Jared Abbrederis,2015
8,11/01,@DEN,L10-29,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
9,11/08,@CAR,L29-37,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
10,11/15,DET,L16-18,1,0,4,57,14.3,32,0,--,--,--,--,--,1,0,Jared Abbrederis,2015
11,11/22,@MIN,W30-13,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
12,11/26,CHI,L13-17,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
13,12/03,@DET,W27-23,1,0,1,16,16.0,16,0,--,--,--,--,--,--,--,Jared Abbrederis,2015
14,12/13,DAL,W28-7,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Jared Abbrederis,2015
15,12/20,@OAK,W30-20,1,0,3,33,11.0,15,0,--,--,--,--,--,--,--,Jared Abbrederis,2015
16,12/27,@ARI,L8-38,1,0,1,5,5.0,5,0,--,--,--,--,--,--,--,Jared Abbrederis,2015
17,01/03,MIN,L13-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jared Abbrederis,2015
1,09/13,@CHI,W31-23,1,1,4,59,14.8,25,0,--,--,--,--,--,--,--,Davante Adams,2015
2,09/20,SEA,W27-17,1,1,5,33,6.6,13,0,--,--,--,--,--,--,--,Davante Adams,2015
3,09/28,KC,W38-28,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Davante Adams,2015
4,10/04,@SF,W17-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Davante Adams,2015
5,10/11,STL,W24-10,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Davante Adams,2015
